2025-02-04 01:14:16,076 - MainThread - {"mqtt": {"ip": "localhost", "port": 1883, "topic_filter": "/yida/+/+"}, "devices_conf_csv": "device_conf.csv"}
2025-02-04 01:14:16,076 - MainThread - The receiver client has been created. The client id is AI_Subscribe_afccaac0-222e-4ca9-ade1-598c79c764e0
2025-02-04 01:14:16,076 - MainThread - The receiver client has connected to ip localhost port 1883
2025-02-04 01:14:16,077 - MainThread - The receiver thread is bind to thread id 126507978077760 name mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The receiver thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The length of message queue is 0
2025-02-04 01:14:16,078 - MainThread - The schedule thread is created id 126507969685056 name schedule_thread
2025-02-04 01:14:16,078 - MainThread - The schedule thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is created id 126507961292352 name write_influxdb_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
write_influxdb_thread
2025-02-04 01:14:18,379 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 13
2025-02-04 01:14:18,380 - schedule_thread - Get a message out of the queue, the length of it is 12
2025-02-04 01:14:18,380 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 13
2025-02-04 01:14:18,380 - schedule_thread - Get a message out of the queue, the length of it is 12
2025-02-04 01:14:18,380 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 13
2025-02-04 01:14:18,381 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,381 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,381 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,381 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,381 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,382 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,382 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,382 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,382 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,383 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,383 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,383 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,383 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,384 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,384 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,384 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,384 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,384 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,385 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,385 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,385 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,385 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,385 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,386 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,386 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,386 - schedule_thread - Get a message out of the queue, the length of it is 13
2025-02-04 01:14:18,386 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 14
2025-02-04 01:14:18,387 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,387 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,387 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,387 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,388 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,388 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,388 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,389 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,389 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,389 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,389 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,390 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,390 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,390 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,390 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,390 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,391 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,391 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,391 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,391 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,392 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,392 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,392 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,392 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,393 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,393 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,393 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,393 - schedule_thread - Get a message out of the queue, the length of it is 14
2025-02-04 01:14:18,394 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 15
2025-02-04 01:14:18,394 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 16
2025-02-04 01:14:18,394 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 17
2025-02-04 01:14:18,394 - schedule_thread - Get a message out of the queue, the length of it is 16
2025-02-04 01:14:18,394 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 17
2025-02-04 01:14:18,395 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 18
2025-02-04 01:14:18,395 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 19
2025-02-04 01:14:18,395 - schedule_thread - Get a message out of the queue, the length of it is 18
2025-02-04 01:14:18,395 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 19
2025-02-04 01:14:18,396 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 20
2025-02-04 01:14:18,396 - schedule_thread - Get a message out of the queue, the length of it is 19
2025-02-04 01:14:18,396 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 20
2025-02-04 01:14:18,396 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,396 - schedule_thread - Get a message out of the queue, the length of it is 20
2025-02-04 01:14:18,397 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,397 - schedule_thread - Get a message out of the queue, the length of it is 20
2025-02-04 01:14:18,397 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,397 - schedule_thread - Get a message out of the queue, the length of it is 20
2025-02-04 01:14:18,398 - schedule_thread - Get a message out of the queue, the length of it is 19
2025-02-04 01:14:18,398 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 20
2025-02-04 01:14:18,398 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,398 - schedule_thread - Get a message out of the queue, the length of it is 20
2025-02-04 01:14:18,399 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,399 - schedule_thread - Get a message out of the queue, the length of it is 20
2025-02-04 01:14:18,399 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 21
2025-02-04 01:14:18,399 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,399 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,400 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,400 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,400 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,401 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,401 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,401 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,401 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,402 - schedule_thread - Get a message out of the queue, the length of it is 21
